Name	Institution	Researcher ID	Keywords
alcantara Tabata	                                    Universidade Potiguar - UnP                                                                     	F-8718-2015	                                                                     
Alcântara Valderí	                                    Universidade Federal de Lavras                                                                     	G-9208-2017	                                                                     
alcantara wladson	                                    UFC                                                                     	J-9555-2016	                                                                     
Alcântara Cardoso Faria Mariana	                                    University of Campinas   UNICAMP                                                                     	D-6096-2017	                                                                     
Alcantara da Silva Ruan	                                    Universidade Federal da Bahia, UFBA / Federal University of Bahia                                                                     	L-7887-2018	                                                                     
Alcântara de Lima Junior Fausto	                                    UNIVALI                                                                     	D-6424-2014	                                                                     
Alcantara dos Santos Fernanda Cristina	                                    Federal University of Goias (UFG)                                                                     	K-5653-2012	                                                                     
Alcântara Filho Roberto	                                    Federal Institute of Ceará, IFCE                                                                     	O-4538-2017	                                                                     
Alcantara Nunez Juan	                                    Instituto de Fisica da USP                                                                     	J-1232-2014	                                                                     
Alcântara Veloso Paulo Potiara	                                    Complexo de Ensino Superior de  Santa Catarina, CESUSC                                                                     	D-5931-2014	                                                                     
Alcântara Veríssimo Lizzy Ayra	                                    Federal University of Lavras (UFLA)                                                                     	I-1110-2013	                                                                     
Alcantara Viana João Vitor 	                                    Universidade Esatdual Paulista "Julio de Mesquita Filho" (UNESP) Campus de Botucatu                                                                     	D-3113-2015	                                                                     
Alcántara-Carrió Javier	                                    UNIVERSIDADE  DE  SÃO PAULO (USP)                                                                     	D-9417-2013	                                                                     
Alcântara-Silva Tereza Raquel	                                    Universidade Federal de Goiás (UFG)                                                                     	K-6436-2018	                                                                            music therapy,                                                                            music,                                                                            neuroscience and neurology                                                                     
Alcará Allan	                                    pucrs                                                                     	S-2149-2017	                                                                     
Alcaraz Francisco	                                    Instituto de Física de São Carlos - USP                                                                     	H-5497-2013	                                                                     
Alcarde André	                                    USP/ESALQ                                                                     	B-8109-2015	                                                                     
alcarde fernando	                                    UNESP -  STATE PAULISTA UNIVERSITY                                                                     	R-9252-2018	                                                                     
Alcarde Sermarini Renata	                                    University of São Paulo   USP - ESALQ                                                                     	D-5570-2015	                                                                     
Alcarria do Nascimento Roberto	                                    UNESP  - São Paulo State University - Campus de Bauru                                                                     	H-4570-2015	                                                                     
Alcázar-Alay Sylvia	                                    University of Campinas (UNICAMP)                                                                     	P-1302-2014	                                                                     
Alceu Camila	                                    Faculdade Cidade de Patos de Minas                                                                     	Q-2442-2016	                                                                     
Alchieri Joao	                                    UFRN Universidade Federal do Rio Grande do Norte                                                                     	C-6335-2011	                                                                     
Alcides André Mota	                                    UFAL - Universidade Federal de Alagoas                                                                     	P-5516-2015	                                                                     
Alcino Almeida Cássia Heloíse	                                    Universidade Estadual de Ciências da Saúde de Alagoas - UNCISAL                                                                     	Q-1692-2016	                                                                     
Alcir Dafre	                                    Federal University of Santa Catarina, UFSC                                                                     	A-9452-2008	                                                                            glutathione,                                                                            glutathionylation,                                                                            s-thiolathion,                                                                            antioxidant defenses,                                                                            oxidative stress,                                                                            vertebrate hemoglobin,                                                                            animal hemoglobin                                                                     
Alckmin-Carvalho Felipe	                                    Universidade de São Paulo ( University Of São Paulo), USP                                                                     	I-4159-2016	                                                                     
ALCOFORADO LUCIANE	                                    Universidade Federal Fluminense - UFF Niterói                                                                     	I-6591-2015	                                                                     
Alcoforado Maria de Lourdes	                                    University of Pernambuco, UPE                                                                     	A-8492-2017	                                                                     
alcoragi nadia	                                    Universidade de Brasília (UnB)                                                                     	P-8855-2017	                                                                     
Aldaya Ivan	                                    State University of São Paulo  - UNESP                                                                     	O-6793-2017	                                                                     
Aldeia Wagner	                                    Institute for Technological Research of the State of São Paulo                                                                     	F-8230-2013	                                                                            nanotechnology,                                                                            oil and petrochemicals,                                                                            industrial operations and equipment for chemical engineering,                                                                            chemical technology,                                                                            functionalization of nanoparticles,                                                                            treatment and utilization of rejects                                                                     
﻿Aldrighi Dante	                                    University of Sao Paulo, USP                                                                     	D-1935-2014	                                                                     
ALDRIGHI JOSE	                                    USP - Universidade de São Paulo                                                                     	K-9418-2014	                                                                     
Aldrigui Bibiana	                                    UFRGS (Federal University of Rio Grande do Sul)                                                                     	C-9928-2015	                                                                     
Aldrigui Mariana	                                    University of Sao Paulo (EACH-USP)                                                                     	B-4840-2013	                                                                            tourism,                                                                            tourism policy,                                                                            tourism education,                                                                            brazil                                                                     
Aldrovandi Cibele	                                    University of São Paulo   USP                                                                     	I-4351-2014	                                                                     
Aldrovani Marcela	                                    Universidade Estadual Paulista Julio de Mesquita Filho, UNESP, Campus Jaboticabal                                                                     	E-8403-2012	                                                                     
Alebrant Mendes Angelica	                                    Universidade Federal do Rio Grande do  Sul (UFRGS)                                                                     	E-3645-2014	                                                                     
Alecio Alberto	                                    UNESP - Instituto de Química                                                                     	K-5589-2013	                                                                     
Alecrim Laura	                                    Instituto do Patrimônio Histórico e Artístico Nacional, IPHAN                                                                     	W-1392-2017	                                                                     
Alede Nunes Davel Marcos	                                    Secretaria Municipal da Educação de Curitiba                                                                     	S-4814-2016	                                                                     
Alegre Patrícia	                                    Universidade Estadual Paulista "Julio de Mesquita Filho" - campus de Botucatu                                                                     	D-8292-2017	                                                                     
Alegre Thiago	                                    Unicamp (Campinas State University)                                                                     	B-1505-2012	                                                                     
Alegretti Ana 	                                    Hospital de Clínicas de Porto Alegre, HCPA.                                                                     	G-6172-2012	                                                                     
Alegretti Zucarelli Tiago	                                    Instituto de Aeronáutica e Espaço (IAE)                                                                     	P-6654-2018	                                                                     
Alegria João	                                    Pontificia Universidade Catolica do Rio de Janeiro  (PUC-Rio)                                                                     	L-8368-2017	                                                                     
Alegro Maryana	                                    University of Sao Paulo (USP)                                                                     	A-7456-2011	                                                                     
Aleixo Alexandre	                                    Museu Paraense Emílio Goeldi                                                                     	I-2697-2012	                                                                     
Aleixo Alexandre	                                    Museu Paraense Emílio Goeldi                                                                     	L-3135-2013	                                                                     
Aleixo Danielaleixo	                                    UNIFIEO                                                                     	G-1502-2015	                                                                     
Aleixo Danielle	                                    Universidade Cidade de São Paulo - UNICID                                                                     	H-4599-2016	                                                                     
Aleixo Fernando	                                    Universidade Federal de Uberlândia (UFU)                                                                     	J-9887-2013	                                                                     
Aleixo Kátia	                                    Universidade de Sao Paulo, USP                                                                     	K-4173-2016	                                                                     
ALEIXO MARIANA LENINA 	                                    Universidade do  Estado de Mato Grosso                                                                     	H-3892-2018	                                                                     
Aleixo Pedro	                                    USP                                                                     	H-2361-2015	                                                                     
Aleixo Sávio	                                    EESC-USP                                                                     	H-3929-2018	                                                                     
Aleixo Seldon	                                    Universidade Estadual do Norte Fluminense "Darcy Ribeiro", UENF                                                                     	U-2565-2017	                                                                     
Aleixo Tayra	                                    Faculdade Cásper Líbero                                                                     	M-2049-2015	                                                                     
Aleixo Vicente	                                    UFPA-Universidade Federal do Pará                                                                     	L-5928-2015	                                                                     
Aleixo Victor Manuel	                                    Instituto Federal de Mato Grosso                                                                     	C-8081-2013	                                                                     
ALEJO MIGUEL	                                    IMPA - Instituto de Matematica Pura e Aplicada                                                                     	G-3135-2014	                                                                     
Alekseev Oleg	                                    UFRN - Universidade Federal do Rio Grande do Norte                                                                     	J-4184-2018	                                                                     
Aleluia Augusto Cezar	                                    Universidade Federal da Bahia, UFBA / Federal University of Bahia                                                                     	L-5050-2016	                                                                     
Alem Douglas	                                    UFSCar - Federal University of Sao Carlos                                                                     	C-2099-2012	                                                                     
Alem Michele	                                    UFSCar - Federal University of Sao Carlos                                                                     	R-2463-2016	                                                                     
Alemar Aguinaldo	                                    Federal University at Uberlandia - UFU                                                                     	E-9361-2013	                                                                     
Alemar Barbara	                                    Universidade Federal do Rio Grande do Sul (UFRGS)                                                                        ; Hospital de Clínicas de Porto Alegre, HCPA                                                                     	R-2875-2017	                                                                            brca1,                                                                            brca2,                                                                            tp53,                                                                            hboc,                                                                            hereditary breast and ovarian cancer syndrome,                                                                            li-fraumeni syndrome,                                                                            pancreatic cancer,                                                                            pdac,                                                                            mirna,                                                                            genetic testing,                                                                            gene expression and cancer,                                                                            hereditary cancer,                                                                            circulating biomarkers                                                                     
Alemeida Kelson	                                    University of São Paulo                                                                     	G-7719-2016	                                                                     
Alencar Adriano	                                    Universidade de São Paulo  - USP                                                                     	L-5071-2013	                                                                     
Alencar Airlane	                                    Institute of Mathematics and Statistics of University of São Paulo (IME-USP)                                                                     	D-9196-2016	                                                                     
Alencar Amanda	                                    UERJ - Universidade do Estado do Rio de Janeiro                                                                     	C-7238-2015	                                                                     
Alencar Ana Ellen	                                    Universidade Federal do Rio Grande do Norte (UFRN)                                                                     	O-7060-2014	                                                                     
Alencar Ananias	                                    Universidade Federal dos Vales do Jequitinhonha e Mucuri - UFVJM                                                                     	C-6671-2014	                                                                     
Alencar Anderson	                                    Instituto Paulo Freire                                                                     	D-5362-2014	                                                                     
Alencar Anderson Clayton	                                    UFG - Federal University of Goiás                                                                     	G-9475-2018	                                                                     
Alencar Carlos	                                    Federal University of Ceará                                                                     	B-7983-2013	                                                                     
Alencar Carlos	                                    UNIVERSIDADE FEDERAL DO CEARÁ, UFC                                                                     	G-1537-2016	                                                                     
Alencar Caroline	                                    USP                                                                     	O-1798-2016	                                                                     
ALENCAR CLAUDIO	                                    University of São Paulo   USP                                                                        ; Polytechnic School - University of São Paulo                                                                     	B-2555-2014	                                                                     
Alencar Daniel	                                    Universidade Federal do Ceará (UFC)                                                                     	F-7490-2012	                                                                     
ALENCAR DELMO DE CARVALHO	                                    FIOCRUZ - Fundação Oswaldo Cruz                                                                     	D-1154-2018	                                                                     
﻿Alencar Fernanda	                                    UFPE - Federal University of Pernambuco                                                                        ; University of Pernambuco, UPE                                                                     	K-5383-2016	                                                                     
Alencar  Gedeon 	                                    PONTIFICIA  UNIVERSIDADE CATÓLICA DE SÃO PAULO                                                                     	E-1961-2015	                                                                     
Alencar Geova	                                    Universidade Federal do Ceará                                                                     	A-3804-2013	                                                                     
Alencar Gizelton	                                    University of São Paulo   USP                                                                     	H-1248-2014	                                                                     
Alencar Guilherme	                                    Universidade do Sul de Santa Catarina (UNISUL)                                                                     	L-4003-2018	                                                                     
Alencar Henrique	                                    NADA CONSTA                                                                     	O-8288-2018	                                                                     
Alencar Heverton 	                                    Universidade Federal de Alagoas                                                                     	E-4718-2014	                                                                     
Alencar Igor	                                    Universidade Federal do Rio Grande do Sul                                                                     	C-1360-2017	                                                                     
Alencar Isabele	                                    Empresa Brasileira de Serviços Hospitalares                                                                     	U-9619-2017	                                                                     
Alencar Jeronimo	                                    Fundacao Oswaldo Cruz, FIOCRUZ                                                                     	C-8426-2017	                                                                     
Alencar João	                                    Faculdade Integrado de Campo Mourão                                                                     	H-9656-2017	                                                                     
Alencar Julia	                                    Universidade de  Brasilia                                                                     	T-3141-2017	                                                                     
Alencar Laura	                                    Universidade de São Paulo                                                                     	E-2030-2013	                                                                            macroevolution,                                                                            macroecology,                                                                            herpetology,                                                                            reptiles                                                                     
Alencar Leticia	                                    Federal University of Grande Dourados (UFGD)                                                                     	J-4400-2017	                                                                     
Alencar Lorena D. S.	                                    Universidade Estadual Paulista  "Julio de Mesquita Filho" UNESP                                                                     	B-1685-2014	                                                                     
Alencar Lucas	                                    Universidade Estadual do Ceará - UECE                                                                     	G-1980-2014	                                                                     
Alencar Luciana	                                    UNIVERSIDADE FEDERAL DE PERNAMBUCO                                                                     	G-9996-2012	                                                                     
Alencar Luciana	                                    University of São Paulo                                                                     	H-3741-2013	                                                                     
Alencar Luciana	                                    UNIVERSIDADE FEDERAL DE PERNAMBUCO                                                                     	M-4658-2014	                                                                     
Alencar Marcelo	                                    Federal University of Campina Grande                                                                     	E-4048-2013	                                                                     
Alencar Marcelo	                                    Universidade Federal de Pernambuco (UFPE)                                                                     	G-9670-2012	                                                                     
Alencar Marcio	                                    Universidade Federal de Alagoas, UFAL                                                                     	G-1272-2010	                                                                     
Alencar Marcus	                                    Federal University of Piaui (Portuguese: Universidade Federal do Piauí)                                                                     	R-3061-2016	                                                                     
Alencar Marcus	                                    Federal University of Piauí                                                                     	S-3988-2016	                                                                     
Alencar Maria	                                    Oswaldo Cruz Foundation FIOCRUZ                                                                     	B-1155-2008	                                                                            foresight,                                                                            patent analysis,                                                                            bibliometric indicators,                                                                            data mining,                                                                            business intelligence,                                                                            competitive intelligence,                                                                            information retrieval,                                                                            knowledge discovery,                                                                            future planning                                                                     
Alencar Maria de Cleofas F.	                                    Embrapa  - Brazilian Agricultural Research Corporation                                                                     	O-8857-2014	                                                                     
Alencar Maria do Carmo	                                    Federal University of Sao Paulo -  UNIFESP- BS                                                                     	B-7150-2015	                                                                            occupational health,                                                                            mental health and work,                                                                            repetitive strain injury,                                                                            low back pain                                                                     
Alencar Maria Magaly	                                    Universidade Federal de Pernambuco - UFPE                                                                     	D-6349-2011	                                                                     
alencar mariana	                                    Universidade Federal de  Minas Gerais, UFMG                                                                     	J-2186-2018	                                                                     
Alencar Marlyvan	                                    Centro Universitário SENAC                                                                     	G-5306-2013	                                                                     
Alencar Maurício	                                    Embrapa - Brazilian Agricultural Reserarch Corporation                                                                     	E-1739-2012	                                                                     
Alencar Mayke	                                    Universidade Estadual de Alagoas (UNEAL)                                                                     	C-9121-2017	                                                                     
ALENCAR NADYELLE	                                    Federal University of Piaui - UFPI                                                                     	G-1286-2018	                                                                     
Alencar Natalia	                                    UNICAMP  (University of Campinas)                                                                     	C-4532-2015	                                                                            sensorial analysis,                                                                            bread, bakery products,                                                                            wine                                                                     
Alencar Patricia	                                    Faculdade de Tecnologia Zona Leste, FATEC ZL                                                                     	L-2561-2015	                                                                     
Alencar Raidson	                                    Instituto Federal do Pará                                                                     	B-9468-2014	                                                                     
Alencar Raidson	                                    Instituto Federal do Pará                                                                     	F-9478-2014	                                                                     
Alencar Ruanderson 	                                    Instituto Federal de Ciência e Tecnologia, IFPB                                                                     	N-2036-2017	                                                                     
Alencar Rúbia	                                    Faculdade de Medicina de Botucatu, UNESP - Univ Estadual Paulista                                                                     	C-5005-2014	                                                                     
Alencar Sandro	                                    IPEN - CNEN/SP                                                                     	E-1971-2015	                                                                     
Alencar Severino	                                    University of Sao Paulo (USP)                                                                     	B-7743-2012	                                                                            antioxidant activity; natural products; isolation of bioactive compounds; propolis                                                                     
Alencar Silvia	                                    Universidade Federal de Minas Gerais (UFMG)                                                                     	C-2803-2013	                                                                            star formation,                                                                            t tauri stars,                                                                            star-disk interaction,                                                                            magnetic fields,                                                                            young stellar clusters                                                                     
Alencar Silvio	                                    Instituto Federal do Espirito Santo (IFES)                                                                     	F-7282-2015	                                                                     
Alencar Sonia	                                    Empresa Brasileira de Pesquisa Agropecuária                                                                     	F-2766-2014	                                                                     
Alencar Thiago	                                    vivo                                                                     	M-5652-2017	                                                                     
Alencar Thonimar	                                    Universidade Federal de Ouro Preto, UFOP                                                                     	G-4109-2013	                                                                     
Alencar Valeria	                                    Instituto de Artes da UNESP - Universidade Estadual Paulista                                                                     	T-1011-2016	                                                                     
Alencar Valquíria 	                                    Universidade de Mogi das Cruzes, UMC / University of Mogi das Cruzes                                                                     	A-4527-2017	                                                                     
Alencar Wagner	                                    Universidade Federal do Pará-UFPA, Brazil                                                                     	A-4109-2011	                                                                     
Alencar Wong	                                    CENTRO DE REFERENCIA E TREINAMENTO DST/AIDS SP                                                                     	C-2439-2014	                                                                     
﻿Alencar da Costa André	                                    Universidade de São Paulo - USP                                                                     	N-5970-2015	                                                                     
Alencar Filho Aristoteles	                                    Universidade Federal do Amazonas, UFAM                                                                     	B-6244-2013	                                                                     
Alencar Filho Edilson B.	                                    Universidade Federal do Vale do São Francisco (UNIVASF)                                                                     	D-8775-2016	                                                                            medicinal chemistry,                                                                            cheminformatics,                                                                            qsar modeling,                                                                            docking studies                                                                     
Alencar PEREIRA RAMON DE	                                    UFMG (Federal University of Minas Gerais                                                                     	F-7460-2018	                                                                     
Alencar Rolim Gustavo	                                    Universidade de São Paulo EESC / USP                                                                     	F-7878-2018	                                                                     
Alencar-Neto Jose	                                    Laboratório de Investigação e Perícia Digital, IPDLab                                                                     	D-1401-2009	                                                                     
Alencastre Moroz Juliana	                                    Institute for Technological Research of the State of São Paulo                                                                     	P-1278-2018	                                                                            microfluidics,                                                                            microtechnology,                                                                            nanotechnology,                                                                            biosensors,                                                                            devices                                                                     
Alencastro Mario	                                    Centro Universitário Internacional - UNINTER                                                                     	C-1850-2013	                                                                     
Alencastro Puls Henrique	                                    Universidade Federal de Ciencias da Saude de Porto Alegre (UFCSPA)                                                                     	R-2379-2017	                                                                     
Alencastro Veiga Cruzeiro Gustavo	                                    UNIVERSITY OF S. PAULO - Faculty of Medicine of Ribeirão Preto                                                                     	C-8508-2017	                                                                     
alerto joao	                                    Universidade de  Passo Fundo                                                                     	A-5583-2017	                                                                     
Alessandra Pellini	                                    UNIVERSITY OF SÃO PAULO - SCHOOL OF PUBLIC HEALTH                                                                     	K-5156-2013	                                                                     
Alessandra  dos Reis Amanda 	                                    Universidade Federal de São Carlos (UFSCar)-UFSCar                                                                     	N-9536-2013	                                                                     
Alessandro Alessandro 	                                    Faculdade de Arquitetura w Urbanismo USP                                                                     	A-8126-2015	                                                                     
Alessandro da Silva Carlos	                                    BCA Têxtil Ltda                                                                     	O-5878-2015	                                                                     
Alessi Antonio	                                    UNESP - São Paulo State University                                                                     	K-8455-2012	                                                                     
Alessi Antonio	                                    UNESP Sao Paulo State University                                                                     	K-9675-2015	                                                                     
ALESSI HELENA	                                    UNIFESP (Universidade Federal de São Paulo)                                                                     	D-4966-2015	                                                                     
alessi Karine	                                    Universidade Federal de Mato Grosso (UFMT)                                                                     	I-7045-2013	                                                                     
Alessi Thaís	                                    Universidade Federal de Lavras (UFLA - Brasil)                                                                     	F-2367-2015	                                                                     
Alessio Priscila	                                    UNESP  Universidade Estadual Paulista - Campus de Presidente Prudente                                                                     	C-1716-2012	                                                                            lbl films,                                                                            lb films,                                                                            langmuir films,                                                                            pvd films,                                                                            sensors and biosensors;,                                                                            raman and sers spectroscopy,                                                                            impedance spectroscopy                                                                     
