Name	Institution	Researcher ID	Keywords
 Carmo Janaina	                                    UFSCar - Federal University of Sao Carlos - SOROCABA CAMPUS                                                                     	D-5648-2013	                                                                            greenhouse gases; agriculture; forest, nitrogen, carbon                                                                     
 Carneiro Daniella	                                    UFG - Faculdade Federal de Goiás                                                                     	A-1938-2016	                                                                     
 Carneiro Jefferson 	                                    Universidade Federal do Tocantins - UFT                                                                     	N-2462-2015	                                                                     
 Carneiro Patrícia	                                    Universidade Federal de Rondônia - UNIR                                                                     	N-1188-2018	                                                                     
 Carvalho Cláudio	                                    Federal University of Grande Dourados                                                                     	E-7421-2014	                                                                     
 Casagrande Nancy	                                    PUC-SP                                                                     	M-3710-2013	                                                                            língua portuguesa,                                                                            historiografia da língua portuguesa,                                                                            discurso,                                                                            ensino de língua portuguesa                                                                     
 Casali-Pereira Maressa	                                    UNIVERSITY OF S. PAULO, USP                                                                     	I-1282-2014	                                                                     
 Cavalcante Deborah	                                    Universidade Federal da Grande Dourados - UFGD                                                                     	E-3447-2017	                                                                     
 Cavalcanti da Silva Filho Edson 	                                    Universidade Federal do Piauí                                                                     	D-6401-2013	                                                                     
 Chaves Maria das Graças 	                                    Universidade Federal de Juiz de Fora (UFJF)                                                                     	M-1356-2016	                                                                     
 CODAGNONE FABIO	                                    BRAZILIAN NAVY                                                                     	C-8295-2013	                                                                     
 Coelho Heloisa	                                    Universidade de Brasília - UNB                                                                     	C-3379-2017	                                                                     
 Conceição Cálidon	                                    CEAP                                                                     	E-9000-2013	                                                                     
 Conceição Rosangela	                                    Universidade Paulista - UNIP                                                                        ; Universidade Estadual de Campinas                                                                     	H-8692-2012	                                                                            art and technology,                                                                            visual culture of textiles,                                                                            visual arts,                                                                            art research methodology,                                                                            artistic practices,                                                                            complexity,                                                                            art history, art theory, iconography,                                                                            museology,                                                                            mobile art,                                                                            digital art                                                                     
 Cordeiro Vasconcelos Selene 	                                    Federal University of Paraíba (UFPB)                                                                     	G-9955-2016	                                                                     
 Corgosinho Flavia	                                    UNIFESP (Universidade Federal de São Paulo)                                                                     	G-4045-2015	                                                                     
 Corrêa Luiz Liberato Costa	                                    Universidade do Vale do Rio dos Sinos                                                                     	K-8690-2016	                                                                     
 Corrêa de Moraes Márcia	                                    iNSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL, IFRS                                                                     	J-3292-2012	                                                                     
 Cosenza Diogo	                                    Federal University of Viçosa (UFV- Brazil)                                                                     	K-2873-2016	                                                                     
 Costa Adeliane 	                                    Federal University of Goias (UFG)                                                                     	G-3848-2015	                                                                     
 Costa Débora	                                    State University of Campinas (UNICAMP)                                                                        ; State University of Campinas (UNICAMP)                                                                     	G-1287-2012	                                                                            cancer,                                                                            inflammation,                                                                            tumor microenvironment,                                                                            medicinal chemistry, drug development, natural products,                                                                            tumor biology                                                                     
